"Word","Part_of_Speech","Etymology","Definition","Examples_and_Notes","Source_Page"
"Chintá","n.f.","S. Chitā","The funeral pile, for cremation","-báṇ-ní, v.i. re. To prepare a funeral pile for cremation","28"
"Chiňwáň","n.m.","","A plant that grows near water and is used as medicine for burns","","28"
"Chīňwṇu","v.a. re.","","To get burnt","f. -í, pl. -é","28"
"Chirá","n.m.","","A bit, a part","","28"
"Chiraṇ","n.m.","","A stick (worm)","","28"
"Chirg","n.f.","","An ache, a pain","","28"
"Chíṛ","p.p.","","Cut, torn","f. -í, pl. -é","28"
"Chirkhu-masáṇ","n.m.","","A male spirit which swings, whence its name. It haunts cross-roads and frightens the passers-by (used in Chambá)","","28"
"Chirmakaṇ","n.m.","","Warbling","","28"
"Chirmakṇu","v.i. re.","","To warble","f. -í, pl. -é","28"
"Chirmiruwá or -ú","adj.","","Scattered","m.; f. -í, pl. -é","28"
"Chiṛṇu","v.i. re.","","To be angry or indignant","f. -í, pl. -é","28"
"Chīrṇu","v.t. re.","","To saw, to tear, to cut","f. -í, pl. -é","28"
"Chiṛú","n.m.","","A small kind of bird","f. -í","28"
"Chirwáṇu","v.v. re.","","To be torn","f. -í, pl. -é","28"
"Chirwi-jáṇu","v.a. re.","","To be torn","f. -í, pl. -é","28"
"Chísh","n.f.","","Water","-lágní, v.i. re. To be thirsty","28"
"Chishá or -ú","adj.","","Thirsty","m.; f. -í, pl. -é","28"
"Chishe-rauṇu","v.i. ir.","","To remain thirsty","","28"
"Chit","adj.","","Flat","-hoṇu, v.i. ir. To be flat, to die","28"
"Chīṭ","n.f.","","An ant","pl. -o. Also chiúṇṭí","28"
"Chiṭá or -u","adj.","","White","m.; f. -í, pl. -é","28"
"Chitá","n.f.","S. chitā","A funeral pile","-rauṇu, v.i. re. To remain in memory","28"
"Chiterá","n.m.","S. Chitrakāra","A painter, a picture-maker","","28"
"Chiteráwṇu","v.t. re.","","To cause to remember","f. -í, pl. -é","28"
"Chíṭhí","n.f.","H. chiṭṭhī","A letter","Chínṭhí in Maḍhán, Theog","28"
"Chíthṛá or -u","n.m.","","A rag","pl. -é","28"
"Chíṭo","n.f. pl.","","An ant","sing. Chīṭ. Also chyúṇṭí and mero in Bághal and Kunihár States","28"
"Chitrá","n.m.","","(1) A medicinal herb; (2) Name of a constellation","","28"
"Chitwṇu","v.t. re.","","To remember","f. -í, pl. -é","28"
"Chíú","adj.","","See Chauṇ","","28"
"Chyúṇṭí","n.f.","","See Chīṭ","","28"
"Chyúṛí","n.f.","","Roasted rice for chewing","","28"
"Chyúṭí","n.f.","","A small pine tree","","28"
"Chíwṇu or Chīňwṇu","v.i. re.","","To be burnt","f. -í, pl. -é","28"
"Chíyá","adj.","","See Chauṇ","","28"
"Chlásh","n.f.","H. chauláí","A kind of greens","","28"
"Chochlá","n.m.","","A jest","-u, n.m.; f. -í, pl. -é. A jester","28"
"Chogá","n.m.","H. chogá","A kind of long cloak","","28"
"Chói","n.f.","","A spring of water","","28"
"Chókan","n.m.","","Cooked pulse or vegetables, or meat","","28"
"Chokhú","adj.","","Clean, chaste","m.; f. -í, pl. -é","28"
"Chokṇu","v.a. re.","","To dip, to plunge","f. -í, pl. -é","28"
"Chokwṇu","v.i. re.","","To be dipped or plunged","","29"
"Cholá or -u","n.m.","","A dress, a cloak","pl. -é","29"
"Cholí","n.f.","","A female dress","","29"
"Choltá or -u","n.m.","","A small dress or cloak","f. -í, pl. -é","29"
"Chóltu","n.m.","","A small cloak","","29"
"Chóňr","n.m.","S. Chamara","Chowry, the tail of the Bos grunniens, used to whisk off flies, also as an emblem or insigne of princely rank","","29"
"Chóp","n.f.","","(1) A pole, a tent-pole; (2) The sum of a loan","","29"
"Chopar","n.m.","","Butter","","29"
"Choparṇu","v.t. re.","","To rub with butter or oil","f. -í, pl. -é","29"
"Chopdár","n.m.","H. chopdār","See Chhariyá","","29"
"Chór","n.m. and f.","H. chor","A thief; a robber","f. -í, thieving or robbery","29"
"Chor","n.m.","","A white sorrel","","29"
"Chorá","n.m.","","Leaking","-lágná, v.s. re. To leak","29"
"Chorṇu","v.i. re.","","To steal","f. -í, pl. -é","29"
"Choṛṇu","v.t. re.","","To pluck","f. -í, pl. -é","29"
"Choṛṇu","v.t. re.","H. toṛná","To break, to crush","Tinvéň merí ḍiňglí choṛí pár, 'He has broken my small stick.'","29"
"Chorwṇu","v.s. re.","","To be concealed or stolen","","29"
"Choshá","n.m.","","A burn","pl. -é","29"
"Choshṇu","v.t. re.","","To burn with fire","f. -í, pl. -é","29"
"Choshwṇu","v.i. re.","","To be burnt","f. -í, pl. -é","29"
"Chóṭ","n.f.","H. choṭ","A hurt","-deṇí, v.t. re. To throw away","29"
"Chothrá or -u","n.m.","","A deep basket; a basket used to keep grain, etc.","f. -í, A small basket; pl. -é, Baskets","29"
"Choṭí","n.f.","","(1) A top, a peak; (2) A pigtail","","29"
"Chrái","n.f.","H. chauṛáí","Breadth or width","","29"
"Chraiṭhá","n.m.","","The knee","f. -í, pl. -é","29"
"Chrássí","adj.","","84","","29"
"Chréḷ","n.f.","","A hag, a slut, the ghost of a woman who dies while pregnant","","29"
"Chréoṛí","n.f.","","Twine, to which rhododendron flowers are attached. It is hung on every house at the Baisákhí Sankránt called Bishú.","","29"
"Chrerú","n.m. pl.","","Birds","Chrerú báshde lágé: 'The birds began to warble.'","29"
"Chrīň","n.f.","","A bad smell","","29"
"Chrírá","n.m.","","A kind of insect having long hair on the body, long in size, and with many feet","pl. -é","29"
"Chrīṛṇu","v.t. re.","","To stretch, to spread","f. -í, pl. -é","29"
"Chṭikṇu","v.i. re.","","To crack, to jump","f. -í, pl. -é","29"
"Chubhṇu","v.t. re.","H. chubhná","To pierce","f. -í, pl. -é","29"
"Chubkí","n.f.","","A dip","-márṇí, v.f. re. To take a dip","29"
"Chubkuwé-náchnu","v.a. re.","","To dance to the tune called Chubkú, also idiomatically, to be much pleased","","29"
"Chugá","n.m.","","Food for birds","Also chug","30"
"Chusal or huglí","n.f.","","A small piece of charcoal or stone placed on the aperture of a pipe to prevent the tobacco from going down into the pipe","","30"
"Chugh","n.f.","","A complaint, slander","-páṇí, v.t. re. To backbite","30"
"Chugl-khór","n.m. and f.","H. chugl-khor","A backbiter","","30"
"Chugáwṇu","v.t. re.","","See Charáwṇu","","30"
"Chugṇu","v.t. re.","","See Charṇu","","30"
"Chúhṛá","n.m.","","A sweeper","f. -í, pl. -é","30"
"Chúi-jáṇu","v.s. ir.","","To miss","","30"
"Chúj","n.m.","","A young hawk","","30"
"Chúk","n.f.","","(1) An oath on the ruler; (2) A mistake","","30"
"Chukṇu","v.a. re.","","(1) To take an oath on the ruler; (2) To err, to forget","","30"
"Chúl","n.f.","","The lower part of a door","","30"
"Chúl","n.f.","S. Chulli","A stove","","30"
"Chumak","n.f.","","A silver mouthpiece for a hubblebubble","","30"
"Chúňch","n.f.","S. Chañchu; H. choñch","A beak, a bill","Also chunch","30"
"Chuňchú","n.m.","S. Chūchuka","Nipple of the breast; Breast","","30"
"Chuňḍí","n.f.","","The top (of a tree)","Distich: Chīá chuňḍié ghugtí búshau, báṇo chuňḍié totú; Kalí jugo rá póhrá lágá, dádí láî-gué potá. 'A dove is warbling on the top of a pine, and a parrot on the top of an oak; 'Tis sad of this iron age, that a grandson has taken away a grandmother.'","30"
"Chundú","n.m.","","A pinch","-deṇu, v.a. re. To pinch","30"
"Chungṇu","v.t. re.","","To take up, to lift up; to pick","f. -í, pl. -é","30"
"Chuňgú or chuňgú-bír","n.m.","","A male spirit, under a sorcerer's control, and employed to bring things to him. It also drinks the milk of cows and brings milk, ghī, etc., to its owner.","used in Chambá and the Simlá Hills, respectively","30"
"Chún-pún","n.m.","","Goodness","","30"
"Chup","n.m.","H. chup","Silence","-karṇí, v.i. re. To be silent","30"
"Chupá or -u","adj.","","Silent, quiet, tranquil","m.; f. -í, pl. -é","30"
"Chupe-rauṇu","v.i. ir.","","To keep quiet, to be silent","","30"
"Chúrá","n.m.","","Powder, dust, saw-dust","","30"
"Chúṛí","n.f. pl.","","Bangles made of lac or glass","","30"
"Churk-churk-láṇí or karṇí","v.t. re.","","To chew anything hard","","30"
"Churṇu","v.t. re.","","To crush","f. -í, pl. -é","30"
"Chúṇu","v.i. re.","","To leak","f. -í, pl. -é","30"
"Churwṇu","v.i. re.","","To be crushed","f. -í, pl. -é","30"
"Chushṇu","v.t. re.","","To suck, to absorb","f. -í, pl. -é","30"
"Chúṭ","n.f.","","(1) Breakage; (2) The act of breaking or decreasing; (3) Deficiency","","30"
"Chutiyá","adj.","","Fool, ignorant","m. and f. pl. -é","30"
"Chutṛṇu","v.i. re.","","To be broken","","30"
"Chutṛi-jáṇu","v.i. re.","","To be broken","","30"
"Chutpaṇá","n.m.","","Folly","","31"
"Chwáňní","n.f.","H. chawannī","The coin of four annas","","31"
"Chyaúň","n.m.","","See Cheúň","","31"
"Chyáwaṇ","n.m.","Fr. chí, pine, and ban, forest","A pine-forest","","31"
"Chyeṭṭá","adj. m.","","See Cheṭṭá","","31"
"Dá or -ú","masc. affix","","In, into, within","Examples: Indá dúd ní áňthí. 'There is no milk in it.' Loṭédá chísh ní rauwí. 'There is no water in the jug.' Tiňdé michh bi rau? 'Do men live in them?' Tiňdú kuṇ thu? 'Who was in that (house)?'","31"
"Dá","n.f.","","A jump, a spring, a bound","","31"
"Dá'b","n.m.","","Pressure","-deṇá, v.t. re. To press","31"
"Dabá","n.m.","","A round wooden box","f. -í, A small round box; pl. -é","31"
"Dábá","n.m.","","Plaster (medical)","-deṇá or -láṇá, v.t. re. To apply a plaster","31"
"Dabāw","n.m.","","Pressure","-deṇá, v.t. re. To press","31"
"Dabáwṇu","v.t. re.","","To press down","f. -í, pl. -é","31"
"Dabṇu","v.i. re.","","To be pressed","f. -í, pl. -é","31"
"Dábṇu","v.t. re.","","To press","f. -í, pl. -é","31"
"Dábr","n.f.","","A small pond or tank","f. -í, A very small pond or temple tank","31"
"Dá'ch or Drá't","n.m.","","A large sickle","f. -í, A small sickle. -ṭu or -ṭí, A small sickle to cut grass","31"
"Dadá","n.m.","","Grandfather","pl. -é; f. -í, Grandmother","31"
"Dadháṇá","n.m.","","The melon fruit, tarbúj in Hindī","","31"
"Dadiyá","","","A term of address; O my friend","f. -í","31"
"Daf","n.m.","","A kettledrum","-ru, n.m. A kind of small kettledrum","31"
"Dáflí","n.f.","","A small recess in a wall","Syn. Ṭírá or Ṭírí","31"
"Dá'g","n.f.","","A witch","-lágní, v.s. re. To be influenced by a witch","31"
"Dá'g","n.m.","","(1) Cremation; (2) A spot","-deṇá, v.t. re. To cremate","31"
"Dagá","n.m.","P. dagā","Pretence, a trick","-deṇá, v.t. re. To play a trick","31"
"Dagáňdrá","n.m.","","A kind of disease in which an itching sensation is felt on the body","-láṇá, v.s. re. To suffer from that disease","31"
"Dageṭú","n.m.","","The children of a witch","f. -í, pl. -é","31"
"Daghélú","n.m.","","Heels","","31"
"Dágí","n.m. and f.","","A low-caste people who render menial services","Also kólí and dághí","31"
"Dagle","adj.","","Bitter","Proverb: Hát merie Bághelá; Jaṭhá ban búṭí bi ḍagle. 'What is to be said of Bághal State; Where even the wild plants are bitter.'","31"
"Dágṇu","v.t. re.","","(1) To burn; (2) To burn with fire","f. -í, pl. -é","32"
"Dagrasá","n.m.","H. gaṛāsā","A kind of instrument used to cut plants, etc., as fodder for cattle","","32"
"Dagyálí","n.f.","","The 14th and 30th, i.e., the Chaudas and Amávas of the dark half of Bhádo are termed 'Dagyálí,' on which days the Dágs are believed to assemble at the Karol mountain in Baghát territory.","","32"
"Dáh","n.m.","S. Dāha = combustion","Burning","-láṇá, v.i. ir. To cremate","32"
"Dáh","n.m.","","Envy","","32"
"Dái","n.f.","H. dāī","(1) A nurse; (2) A sister","Example: Dái kí bolai? 'What do you say, sister?'","32"
"Daiṁ","n.f.","","A den; a large hole in a rock","","32"
"Dáiṇ","n.f.","","See Dá'g","","32"
"Daiňh","n.m.","S. dadhi; H. dahī","Curds; curdled sour milk","","32"
"Daiňṭhí","n.f.","H. dahej","The articles of a dowry","","32"
"Daiyá","int.","","God! my God!","","32"
"Dák or Dákí","n.f.","","Vomit","-áwṇí or -lágní, v.i. re. To vomit","32"
"Ḍák","n.f.","H. ḍāk","The mail","","32"
"Ḍákḍhar","n.m.","E. doctor","A doctor","","32"
"Dakeṇṇí","n.f.","","A kind of small fox","Also dakáṇṇí","32"
"Ḍákghar","n.m.","H. ḍākghar","Post office","","32"
"Dakhal","n.m.","H. dakhl","Interference","-deṇá, v.i. ir. To interfere","32"
"Dákí","n.f.","","Vomit, vomiting","-áwṇí, v.s. re. To vomit","32"
"Ḍákiyá","n.m.","H. ḍākiyā","A postman","","32"
"Dákkh","n.f.","S. Drākshā","Grapes","pl. -o. -láṇí, v.i. re. To plant grapes","32"
"Dákkhin","n.f.","S. Dakṣhiṇa","The south","","32"
"Dáknu","v.i. re.","","To vomit","","32"
"Dal","n.f.","H. dāl","Pulse (cooked or uncooked)","","32"
"Ḍál","n.m.","","A tree","f. -í, A small tree or plant; pl. -o","32"
"Ḍálá","n.m.","","Cooked corn for cattle","","32"
"Daláshá","n.m.","H. dilāsā","Condolence, encouragement","-deṇá, v.t. ar. To condole, to encourage","32"
"Daláwṇu","v.t. re.","","To cause to grind coarsely","f. -í, pl. -é","32"
"Dalkí","n.f.","","Meat, flesh","","32"
"Dalṇu","v.t. re.","H. dalná","To split, to grind coarsely","f. -í, pl. -é","32"
"Ḍálṇu","v.t. re.","","To break, to cut in two","f. -í, pl. -é","32"
"Daltá","n.m.","","An esculent root like the potato","","32"
"Ḍáltá","n.m.","","A small tree; (2) A kind of tree","f. -í, pl. -é","32"
"Ḍaltí","n.f.","","Torch-wood","","32"
"Dám","n.m.","","A burn","-deṇá, v.i. re. To burn","32"
"Ḍam","n.m.","","A box made of bamboo and covered with leather, used for travelling (Bashahr)","","32"
"Damáwṇu","v.t. re.","","To cause to burn","f. -í, pl. -é","32"
"Dámṇu","v.t. re.","","To burn","f. -í, pl. -é","32"
"Dáň","n.m.","","A long stick used to pluck walnuts","","33"
"Dán","n.m.","S. Dāna","A donation, a gift","-deṇá, v.t. re. To make a gift; -laiṇá, v.t. re. To get a gift; -karṇá, v.t. re. To offer a gift","33"
"Dáná","adj.","","Wise, clever, expert","m.; f. -í, pl. -é","33"
"Dáṇá","n.m.","","A pimple, seed, corn, grain","pl. -é","33"
"Dáňḍ","n.m.","S. danta","Tooth or teeth","pl. or sing. -bhan-né, v.re. To break one's teeth","33"
"Dáňḍ","n.m.","S. Daṇḍa","A fine, penalty, punishment","","33"
"Ḍaňḍá","n.m.","","(1) A pole; (2) A bachelor","","33"
"Ḍáňḍí","n.f.","","(1) A small palanquin; (2) Earrings","","33"
"Dáňḍṇu","v.i. re.","","To fine, to punish, to impose a penalty","","33"
"Dáňgrá","n.m.","","A small weapon like an axe","","33"
"Dáňgú","n.m.","","A gatekeeper (Used in Maṇḍí State)","","33"
"Dáňgrú","n.m.","","See Dáňgrá","","33"
"Dáṇo","n.m.","S. Dānava","A demon, a ghost","","33"
"Dá'ṇu","v.t. re.","","To bend down","f. -í, pl. -é","33"
"Dáṇu","v.t. re.","","To stretch, to spread","f. -í, pl. -é","33"
"Dáňwáň","n.m.","","A sinew","pl. -eň","33"
"Dáňwṭhe","n.m. pl.","","See Chilṛá","","33"
"Dáo or Daw","n.f.","","A chance","","33"
"Dapét","n.m.","","A blow","","33"
"Dar","n.f.","H. ḍar","Fear, fright","-lágní, v.i. re. To fear","33"
"Dá'r","n.m.","S. Dāru = wood","Timber","","33"
"Ḍár","n.f.","","A flock of birds, such as wild pigeons","","33"
"Ḍár","n.m.","","Grinding the teeth","-ḍukáṇe, v.a. re. To feel that longing","33"
"Daráiṇ","n.m.","","An inflated skin used for crossing a river","Syn. Sarnáí","33"
"Daráwṇá","adj.","","Fearful","m.; f. -í, pl. -é","33"
"Daráwṇu","v.t. re.","H. daráná","To cause to fear, to create fear","f. -í, pl. -é","33"
"Darí","n.f.","H. darī","A durree","","33"
"Dáṛí","n.f.","H. dāṛhī","The beard","","33"
"Dáṛiyá","","","O my dear","m.; f. -é","33"
"Daṛkṇu","v.a. re.","","To crack","f. -í, pl. -é","33"
"Darṇu","v.t. re.","","To take away","Used in Balsan","33"
"Darpók","adj.","H. ḍarpok","Coward","alike in all genders","33"
"Dárú","n.m.","H. dárū","Gunpowder","","33"
"Darú","n.m. and f.","","One who fears","","33"
"Dáṛú","n.m.","","Pomegranate fruit","-rá-ḍál, n.m. The pomegranate tree","33"
"Daryáw or dráw","n.m.","H. daryā","A river","","33"
"Dásá","n.m.","","A long beam","Also chewal","33"
"Dash","adj.","S. Dasha","Ten","-wán, adj. The tenth","33"
"Dashá","n.f.","S. daśā","Fate","Burí dashá, n.f. Bad luck","33"
"Dasháňḍá","adj.","","A fool","m.; f. -í, pl. -é. Páṇḍe khe dasháňḍá. 'A fool before a learned man.'","33"
"Dashmí","n.f.","S. Dashamī","The tenth day of the bright or dark half of a month","","33"
"Dáṭ","n.m.","","A threatening or warning","","34"
"Dáṭṇu","v.t. re.","","To threaten, to warn","f. -í, pl. -é","34"
"Daudá","n.m.","","A water place made for putting children to sleep in shade in summer so that a trickle of water gently falls on their heads","also dódá","34"
"Dauṇé","n.m. pl.","","A kind of food","","34"
"Dauṛ","n.f.","H. dauṛ","A run","","34"
"Daur","n.m.","H. ḍar","Fear, terror","-lágná, v.i. re. To fear. Kyúṇ daur ní? 'There is no fear.'","34"
"Dauṛáshṇu","v.t. re.","","To cause to run","f. -í, pl. -é","34"
"Dauṛṇu","v.i. re.","","To run, to walk with hasty steps","f. -í, pl. -é","34"
"Dawá","n.f.","S. dayā","Benevolence, tenderness","","34"
"Dawí","n.f.","","See Dár","","34"
"De","particle","","See Das","","34"
"Debí","n.f.","S. Devī","A goddess","-rí, n.f. A small temple","34"
"Debtá","n.m.","H. debtá","See Deo","","34"
"Dehú","n.m. and f.","","A giver, a donor","","34"
"Déḍh","adj.","","See Déṛ","","34"
"Dég","n.f.","","A cauldron, a boiler","","34"
"De-chálṇá","v.i. re.","","To give away","f. -í, pl. -é","34"
"Dei-jáṇu","v.t. ir.","","To give away","f. -í, pl. -é","34"
"Dekhde-ákhi-kharṇí","v.i. re.","","To tire the eyes with looking","","34"
"Dekhi-á, dekhi-ro","p.p.","","Having seen","","34"
"Déṇ","n.m.","S. Ṛiṇa","a debt","-dárí, n.f. A debt","34"
"Deṇu","v.t. ir.","H. dená","To give, bestow upon","f. -í, pl. -é. Also Dewṇu","34"
"Deo","n.m.","S. Deva","A deity, a village god","-lú or -lá, adj. m., f. -lí, pl. -le. Pertaining to a deity","34"
"Deolá, -u","adj.","","Relating to a deity","m.; f. -í, pl. -é","34"
"Deoṛá or -á","n.m.","","A small temple of a deity","f. -í, pl. -é","34"
"Deoṭhá","n.m.","From D'o, a deity, and páṭhá, a grain measure","A term for the grain given to a village deity. Two páṭhás per líh of land (8 bighás) is given for the village deity.","","34"
"Deoṭhaṇ","n.f.","S. Devotthāpanī","A festival observed on the 11th of the bright half of Kártik","","34"
"Deoṭí","n.f.","","A goddess","","34"
"Déṛ","adj.","H. ḍeṛh","One and a half","Also déḍh or dúṛh","34"
"Derá or -u","n.m.","","(1) A lodging, a dwelling; (2) A small tent","","34"
"Désh","n.m.","S. Deśa","A country","","34"
"Déshkaṭ or déshkaṭ","n.f.","","Banishment, deportation","-deṇí, v.t. ir. To exile, to banish, to deport","34"
"Déss","n.m.","S. Divasa","A day","-rú, n.m. pl. Short days; -áré, n.pl. Long days","35"
"Déso","n.m.","S. Deśa","A country, a place, a room","","35"
"Déshí","adj.","","Of one's own country, a native","","35"
"Déur","n.m.","","Husband's brother","","35"
"Dewṇu","v.a. re.","","To go","","35"
"Dewi-jáṇu","v.s. re.","","To go away","","35"
"Ḍgáňḍiá","n.m.","","See Dagáňdrá","","35"
"Dhá","n.f.","","A sad or mourning keen","-deṇí, v.i. ir. To keen for anyone's death","35"
"Dhab","n.m.","","Manner","","35"
"Dhabáwṇu","v.t. re.","","To cause to settle","f. -í, pl. -é","35"
"Dhablú","n.m.","","A white blanket","f. -í, A small blanket","35"
"Dhabṇu","v.i. re.","","To settle, to be all right","f. -í, pl. -é","35"
"Ḍhábṇu","v.t. re.","","To mix water in watery curds","","35"
"Dhafér","n.m. pl.","H. thappaṛ","A blow","-bá'né, v.t. ir. to give a blow. (Also draffar)","35"
"Dhágá","n.m.","","Thread","pl. -é","35"
"Dhágule","n.m. pl.","","Bracelets","","35"
"Dhaiṇ or dhaiṇí","n.f.","","A daughter","","35"
"Dhajá","n.f.","S. Dhvajá","A flag","","35"
"Dhá'k","n.m.","","A rock, a precipice","also dháňk. -ṛu, n.f. A small precipice","35"
"Dhakh","adj.","","A little quantity","","35"
"Dháká","n.m.","H. dhakká","Jolt, push, shove","-deṇá, v.t. re. To push, to shove","35"
"Dháká","n.m.","","A cover, a lid","-deṇá, v.i. re. To cover","35"
"Dhakam-dhaká","n.m.","","A violent shove or jolt","","35"
"Dhakaṇ","n.m.","H. ḍhakkan","A cover, a lid, a pot-lid","","35"
"Dhakiyáwṇu","v.t. re.","","To cause to jolt","f. -í, pl. -é","35"
"Dhakṇu","v.t. re.","","To cover","f. -í, pl. -é","35"
"Dhákṛí","n.f.","","A small precipice","","35"
"Dhákṇú","n.m.","","See Dhákṛí","","35"
"Dhákulí","n.f.","","A drum like an hour glass","","35"
"Dhákurí","n.f.","","A small ridge","","35"
"Dhákú","n.m. and f.","","Monkeys","pl. (So called because they live among precipices)","35"
"Dhá'l","n.f.","","Abortion","-jáṇí, v.s. ir. To produce abortion","35"
"Dhál","n.f.","","(1) A salutation. (2) A tax on land levied to pay tribute (used in Mahlog).","-karṇí, v.t. ir. To bow down. Dhe thákrá, miyáňjí jai Pars Rámá, pairi pai! 'O Thákur, I beg to salute you, O Miyán, I salute you, O Pars Rám, I bow down to you.' A hail!","35"
"Dhálá","n.m.","","A peak, the top of a hill","","35"
"Dhalde-áwṇu","v.i. re.","","To decay","f. -í, pl. -é","35"
"Dhalṇu","v.i. re.","","(1) To set in; (2) To be melted","f. -í, pl. -é","35"
"Dhálṇu","v.t. re.","","To cause to melt","","35"
"Dhálṇu","v.i. re.","","(1) To be poured down; (2) To fall down","","35"
"Dhám","n.f.","","A grand feast in which rice and meat are distributed","-deṇí, v.t. re. (1) To give a grand feast; (2) To applaud.","36"
"Dhamáká","n.m.","","A loud sound","","36"
"Dhamká","n.m.","","(1) A sound; (2) A fright","","36"
"Dhamkáw","n.m.","","Threatening","-deṇá, v.t. ir. To threaten","36"
"Dhamkáwṇu","v.t. re.","","To threaten","f. -í, pl. -é","36"
"Dhamkí","n.f.","","A threat or threatening","","36"
"Dhan","n.m.","S. Dhana","Riches, wealth","","36"
"Dháṇ","n.m. pl.","S. Dhānya","(1) Rice seed; (2) Paddy","-boṇe, v.i. re. To sow rice","36"
"Dhan-báchhṛí","n.f. pl.","","Winged ants","Their wings grow in the rice-sowing season (March), hence the name.","36"
"Dhandá","n.m.","H. dhandā","Work, an engagement","-karṇá, v.i. re. To do a work; -láṇá, v.t. re. To be engaged.","36"
"Dhang","n.m.","S. Daṅśa","A gadfly","","36"
"Dhang","n.m.","H. ḍhaṅg","A manner or mode","-láṇá, v.i. re. To devise a plan; f. -í, pl. -é","36"
"Dhangiyá","adj. m.","","Cunning, deep","","36"
"Dhaṇiyá","n.m.","","See Bihan","","36"
"Dháňkh","n.m.","","See Dhá'k","","36"
"Dhaňkhái","n.m.","","A wilderness","","36"
"Dháňsí","n.f.","","A grain measure equal to 2 sers and 6 chhiṭáks (2 páthás make 1 dháňsí)","used in Kullu","36"
"Dhaṇáṭhú","n.f.","","Wool-carding bow","","36"
"Dhaṇu","n.m.","S. Dhanuṣha","The weapon, bow","","36"
"Dhár","n.f.","H. dhār","(1) A ridge; (2) A pouring; (3) An edge","","36"
"Dhaṛ","n.m.","H. dhaṛ","A body without its head","","36"
"Dhárá","n.m.","H. dhāṛā","A robbery","-paṛṇá, v.s. re. To rob","36"
"Dharam","n.m.","S. Dharma","Virtue, goodness, duty","","36"
"Dharápṭú","n.m.","","An assistant clerk (used in Maṇḍí State)","","36"
"Dharmaurá","n.m.","S. Dharmaghaṭa","An earthen pot filled with water, and a little milk, hung on a tree or house for 10 days after a death. It has a small hole at the bottom through which the water drips and is refilled every morning.","","36"
"Dharṇu","v.t. re.","","To put, to keep, to place","f. -í, pl. -é","36"
"Dharoṛ or dhróṛ","n.f.","H. dharohar","A pledge","","36"
"Dhárádhár","adv.","","By way of the ridge","","36"
"Dhárṭhá","n.m.","","A small ridge","f. -í, pl. -é","36"
"Dhárṭí","n.f.","","See Dhárṭhá","","36"
"Dhartí","n.f.","S. Dharitrī","The earth","","36"
"Dhashṇu","v.t. re.","","To plunge in","","36"
"Dhasrálá","n.m.","","A loud noise or sound","","36"
"Dhat","n.f.","H. dhat","Passion","","36"
"Dháṭu or dháṭhu","n.m.","","A kerchief worn on the head by females","Maḍhán, Theog, Balsan, Kumhársain, Bashahr and Kullú","36"
"Dhaulá or -u","adj.","H. dhaulā","See Chiṭá","f. -í, pl. -é","36"
"Dhauṇ-ṇu","v.t. re.","","To earn","f. -í, pl. -é","36"
"Dhaúňsá","n.m.","","A large kettledrum which is sounded on horseback on the marriage of a chief","also dhoňsú","37"
"Dhaúňṭhí","n.f.","","A small bow, used to card wool","","37"
"Dhaurí","n.f.","","The hide of an ox or buffalo","","37"
"Dhauwáṇu","v.t. re.","","To cause or allow to earn","","37"
"Dhawá","n.m.","H. dhāvā","An invasion","","37"
"Dheká","n.m.","","A fool","f. -í, pl. -é","37"
"Dhelá","n.m.","H. dhelā","Half-a-pice","f. -í, Half-a-rupee, eight annas","37"
"Dhé'ṇ","n.f.","S. Dhenu","(1) A cow; (2) A donation","","37"
"Dheoṭá","n.m.","","A maternal grandson, a daughter's son","f. -í, A maternal granddaughter, a daughter's daughter","37"
"Ḍher","n.m.","","A heap, a mass","-lágnu, v.i. re. To be heaped","37"
"Ḍherá","adv.","S. Dhairya","Wait a little","","37"
"Dhí","n.f.","Puňjábí dhī","A daughter","","37"
"Dhij","n.f.","S. Dhairya","Belief, confidence","-rákhní, v.t. re. To have patience, or reliance","37"
"Dhijáwṇu","v.i. re.","","To make believe","f. -í, pl. -é","37"
"Dhijṇu","v.t. re.","","To believe, to trust","f. -í, pl. -é","37"
"Dhikki","n.f.","","The hiccough","-lágní, v.s. re. To hiccough","37"
"Dhímá or -u","adj.","","Mild, tender","m.; f. -í, pl. -é","37"
"Dhiňḍhrá","n.m.","","A kind of food made of esculent roots mixed with gram flour and cooked in vapour","pl. -é","37"
"Dhíngá-dhíngí","n.f.","","Violence, force","","37"
"Dhíngá-dhíngiyé","adv.","","Forcibly","","37"
"Dhiňkó","n.f. pl.","","Humblings","","37"
"Dhiňkó","n.f. pl.","","Beseeching","","37"
"Dhírá","adv.","","In a waiting manner","-ho, 'Wait a little'","37"
"Dhíraj","n.m.","S. Dhairya","Patience","-dharṇu, v.t. re. To be patient","37"
"Dhishṇu","v.t. re.","S. Dṛiśiḥ","To see","f. -í, pl. -é. Also dishṇu","37"
"Dhiyé","","","A polite phrase used in addressing boys","","37"
"Dhúňichhá, -u","adj.","","Brown","m.; f. -í, pl. -é","37"
"Dhobbí","n.m.","H. dhobī","A washerman","f. -aṇ, The washerman's wife; -ṭu, n.m. The son of a washerman; f. -í, The daughter of a washerman.","37"
"Dhofá","n.m.","","See Dhoká","","37"
"Ḍhoh or -á","n.m.","","A place","","37"
"Dhoká","n.m.","H. dhokhá","Misunderstanding","-kháṇá, v.i. re. To misunderstand. (Also dhofá)","37"
